"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"Gene_0472",2038.13495694738,6.69614328375947,1.42987079138035,4.68304082027947,2.82650197656955e-06,0.00126344638352659,"Up in COVID-19"
"Gene_0006",97.9057969207933,-5.91175925110617,1.56942029238819,-3.76684262321487,0.000165325143227354,0.0125718657515563,"Down in COVID-19"
"Gene_0123",1053.41675706321,6.19674793861097,1.54023230369598,4.02325540357848,5.73991921355812e-05,0.0125718657515563,"Up in COVID-19"
"Gene_0235",130.546337432461,-5.82269507243632,1.53592164948862,-3.79101048180092,0.00015003562141858,0.0125718657515563,"Down in COVID-19"
"Gene_0247",138.68498113818,-5.49261515992223,1.47532238696486,-3.72299316302115,0.000196874855169785,0.0125718657515563,"Down in COVID-19"
"Gene_0357",291.237859530282,-5.6694280093079,1.49709497590616,-3.78695279895407,0.000152506056390137,0.0125718657515563,"Down in COVID-19"
"Gene_0388",780.934720896681,5.2119231133156,1.38857697626079,3.75342757543804,0.000174432946110898,0.0125718657515563,"Up in COVID-19"
"Gene_0106",508.434358996343,-5.87561465224657,1.63834803684766,-3.58630432612586,0.000335397521671047,0.0187403365233698,"Down in COVID-19"
"Gene_0377",171.848045421723,-5.03035022062469,1.46126723888194,-3.44245740051871,0.000576454648202907,0.0286305808607444,"Down in COVID-19"
"Gene_0379",73.8567077912911,-5.53734766762135,1.63026523022436,-3.39659312175804,0.00068230337191416,0.0304989607245629,"Down in COVID-19"
"Gene_0014",404.67362057227,6.12833957601195,1.89432492936955,3.23510474945369,0.0012159811139405,0.0470827451988102,"Up in COVID-19"
"Gene_0087",118.000893848605,-4.52598931679593,1.40382629929616,-3.22403798750966,0.00126396631406202,0.0470827451988102,"Down in COVID-19"
"Gene_0007",140.784461131393,4.0658125954172,1.28423370258882,3.16594447507578,0.00154580297540537,0.0499211970207612,"Up in COVID-19"
"Gene_0131",137.145071147458,-4.56656690549806,1.45317103276056,-3.14248412784765,0.00167520795371682,0.0499211970207612,"Down in COVID-19"
"Gene_0362",140.811046579251,5.68151457511403,1.80449318391336,3.14853756487606,0.00164089631977488,0.0499211970207612,"Up in COVID-19"
